Year,Authors,Title,Publication,Volume,Number,Pages,Publisher,DOIs,Relevant? Cody review,Notes,Found pdf?,Has supplementary materials? (yes/no),Is supplementary material in folder?,Supplementary material file name,Who is looking for this paper? (Initials)
1959,"Musacchia, XJ; Hamilton, Rodger D; ",Notes on hibernation and awakening in Arctic ground squirrels,Journal of Mammalogy,40,2,201-204,"American Society of Mammalogists, Oxford University Press",10.2307/1376434,,,Yes,No,NA,NA,ERC
1958,"Burt, William H; ",The history and affinities of the recent land mammals of western North America,"Zoogeography, Publication",51,,131-154,,,,Citation only,No,No,NA,NA,ERC
1958,"Burt, William H; ",Some Distribution Records of Mammals from Hudson Bay,Journal of Mammalogy,39,2,291-291,The Oxford University Press,10.2307/1376206,,,Yes,No,NA,NA,ERC
1958,"BURT, WILLIAM H; ",When we speak of the origin of a fauna or,Zoogeography,,51,131,American Association for the Advancement of Science,,,Not found,No,No,NA,NA,ERC
1958,"Constantine, Denny G; ",Color variation and molt in Mormoops megalophylla,Journal of Mammalogy,39,3,344-347,The Oxford University Press,10.2307/1376143,,,Yes,No,NA,NA,ERC
1958,"Davis, William B; Lukens Jr, Paul W; ","Mammals of the Mexican state of Guerrero, exclusive of Chiroptera and Rodentia",Journal of Mammalogy,39,3,347-367,"American Society of Mammalogists 810 East 10th Street, PO Box 1897, Lawrence …",10.2307/1376144,,,Yes,No,NA,NA,ERC
1958,"Dice, Lee R; ",The structure of heredity counseling services,Eugenics quarterly,5,1,38-40,Taylor & Francis Group,,,,Yes,No,NA,NA,ERC
1958,"Hooper, Emmet Thurman; ",The male phallus in mice of the genus Peromyscus,,,,,University of Michigan Museum of Zoology,,,,Yes,No,NA,NA,ERC
1957,"Dice, Lee R; ",The deer mouse (Peromyscus),"The UFAW Handbook on the Care and Management of Laboratory Animals. Courier, Kent",,,290-296,,,,Citation only,No,No,NA,NA,ERC
1957,"Dice, Lee R; ",Ecology and overpopulation,The Scientific Monthly,84,4,165-170,American Association for the Advancement of Science,,,,Yes,No,NA,NA,ERC
1957,"Hooper, Emmet T; ","Record of the Mexican harvest mouse (Reithrodontomys mexicanus) from Michoacan, Mexico",Journal of Mammalogy,38,4,521-522,"American Society of Mammalogists 810 East 10th Street, PO Box 1897, Lawrence …",10.1093/jmammal/38.4.521,,,Yes,No,NA,NA,ERC
1957,"Hooper, Emmet Thurman; ",Records of Mexican mammals,,,,,University of Michigan Museum of Zoology,,,,Yes,No,NA,NA,ERC
1957,"Hooper, Emmet Thurman; ",Dental patterns in mice of the genus Peromyscus,,,,,University of Michigan Museum of Zoology,,,,Yes,No,NA,NA,ERC
1957,"Hooper, ET; ",Supernumerary teeth in Peromyscus truei,J. Mammal,38,,522,,,,,Yes,No,NA,NA,ERC
1957,"Kenyon, Karl W; ",The sea otter,Oryx,4,3,153-158,Cambridge University Press,,,,Yes,No,NA,NA,ERC
1956,"Burt, William H; ","Cockrum, E. L. LABORATORY MANUAL OF MAMMALOGY. Burgess Publ. Co., Minneapolis. iii + 160 pp., illustr. 1955. Spiral, $4.00",,,,,"American Society of Mammalogists, Oxford University Press",,,,Yes,No,NA,NA,ERC
1956,"Eadie, W Robert; ","Sanderson, Ivan T. Living Mammals of the World. Hanover House, Garden City, New York. 303 pp., 330 photographs (196 color). 1955. Cloth, $9.95",,,,,"American Society of Mammalogists 810 East 10th Street, PO Box 1897, Lawrence …",10.2307/1375563,,,Yes,No,NA,NA,ERC
1956,"Hooper, Emmet T; ","Longevity of Captive Kangaroo Rats, Dipodomys",Journal of Mammalogy,37,1,124-125,The Oxford University Press,10.2307/1375555,,,Yes,No,NA,NA,ERC
1956,"Hooper, Emmet T; ","Selection of Fats by Dermestid Beetles, Dermestidae",Journal of Mammalogy,37,1,125-126,The Oxford University Press,10.2307/1375557,,,Yes,No,NA,NA,ERC
1955,"Dice, Lee R; ",What is ecology?,The Scientific Monthly,80,6,346-351,JSTOR,,,,Yes,No,NA,NA,ERC
1955,"Dice, Lee; Dice, Lee Raymond; ",Man's nature and nature's man: the ecology of human communities,,,,,University of Michigan Press,,,Citation only,No,No,NA,NA,ERC
1955,"Dice, LR; Oosting, HJ; Test, FH; Buell, MF; ","Suggested Revision of the Constitution and Bylaws, Ecological Society of America",Bulletin of the Ecological Society of America,,,58-64,Ecological Society of America,,,,Yes,No,NA,NA,ERC
1955,"Edwards, Robert L; ",Observations on the ring-tailed cat,Journal of Mammalogy,36,2,292-293,The Oxford University Press,,,,Yes,No,NA,NA,ERC
1955,"Hooper, Emmet T; ","Extra teeth in the pygmy mouse, Baiomys musculus",Journal of Mammalogy,36,2,298-299,The Oxford University Press,,,,Yes,No,NA,NA,ERC
1955,"Hooper, Emmet Thurman; ",Notes on mammals of western Mexico,,,,,University of Michigan Museum of Zoology,,,,Yes,No,NA,NA,ERC
1955,"Newcombe, Curtis L; Reed, John F; Test, Frederick H; Salmonson, RF; Billings, WD; Deevey, Edward S; Cole, LaMont C; Oosting, Henry J; Dyksterhuis, EJ; Sears, Paul B; ","Report of the Western Section Meetings at Berkeley, December, 1954",Bulletin of the Ecological Society of America,,,12-35,Ecological Society of America,,,,Yes,No,NA,NA,ERC
1955,"Schwilling, Marvin D; ",Records of the New-Mexican Bridled Weasel in Kansas,Journal of Mammalogy,36,2,292-292,The Oxford University Press,10.2307/1375900,,,Yes,No,NA,NA,ERC
1954,"Billings, WD; Dice, Lee R; ",Report of the Nominating Committee for 1954,Bulletin of the Ecological Society of America,,,77-77,Ecological Society of America,10.1016/S0002-8223(21)29159-1,,Don't have access,No,No,NA,NA,ERC
1954,"Burt, William H; ","Allen, Durward L. Our Wildlife Legacy. New York, Funk and Wagnalls Company, x+ 422 pp.; illus. 1954. Price, $5.00",,,,,"American Society of Mammalogists 810 East 10th Street, PO Box 1897, Lawrence …",10.2307/1376006,,,Yes,No,NA,NA,ERC
1954,"Burt, William H; ",Fundamentals of Ecology,,,,,JSTOR,,,Citation only,No,No,NA,NA,ERC
1954,"Burt, William Henry; ",Mammalogy: The Subspecies Category in Mammals,Systematic Zoology,3,3,99-104,"Oxford University Press, Society of Systematic Biologists, Taylor & Francis …",10.2307/2411582,,,Yes,No,NA,NA,ERC
1954,"Dice, Lee R; ",Those of the Forest,,,,,Ecological Society of America,,,,Yes,No,NA,NA,ERC
1954,"Dice, LR; ",BREEDING OF PEROMYSCUS-FLORIDANUS IN CAPTIVITY,Journal of Mammalogy,35,2,260-260,"AMER SOC MAMMALOGISTS BRIGHAM YOUNG UNIV, DEPT OF ZOOLOGY, PROVO, UT 84602",10.2307/1376052,,,Yes,No,NA,NA,ERC
1954,"Hibbard, Claude William; ",A new Pliocene vertebrate fauna from Oklahoma,,,,,University of Michigan Press,,,Citation only,No,No,NA,NA,ERC
1954,"Hooper, Emmet T; ",A synopsis of the cricetine rodent genus Nelsonia,,,,,University of Michigan Museum of Zoology,,,,Yes,No,NA,NA,ERC
1954,"Pruitt Jr, WO; ","Additional animal remains from under Sleeping Bear Dune, Lelanau County, Michigan.","Papers of the Michigan Academy of Sciences, Arts and Letters",34,,253-256,,,,Citation only,No,No,NA,NA,ERC
1953,"Dice, Lee R; ",Three Species of Peromyscus.,,,,,University of Notre Dame,,,Citation only,No,No,NA,NA,ERC
1953,"Hooper, Emmet T; ","Notes on mammals of Tamaulipas, Mexico",,,,,University of Michigan Museum of Zoology,,,,Yes,No,NA,NA,ERC
1952,"Burt, William H; ",American Weasels,,,,,"American Society of Mammalogists, Oxford University Press",,,Not found,No,No,NA,NA,ERC
1952,"Burt, William H; ",The Dusky-Footed Wood Rat: A Record of Observations Made on the Hastings Natural History Reservation,,,,,"American Society of Mammalogists, Oxford University Press",10.2307/1375779,,,Yes,No,NA,NA,ERC
1952,"Burt, William H; ","Higman, Harry W., and Earl J. Larrison. Union Bay: The Life of a City Marsh. Seattle. Univ. of Washington Press, x+ 315 pp., 1951. Price $4.00",Journal of Mammalogy,33,3,406-406,The Oxford University Press,10.1093/jmammal/33.3.406,,,Yes,No,NA,NA,ERC
1952,"Burt, William H; ","Glass, Bryan P. A Key to the Skulls of North American Mammals. Minneapolis. Burgess, 54 pp., 105 figs., 1951, mimeo., spiral binding. Price $2.00",Journal of Mammalogy,33,3,404-405,The Oxford University Press,10.2307/1375780,,,Yes,No,NA,NA,ERC
1952,"Burt, William H; ","Foenander, EC Big Game of Malaya: Their Types, Distribution and Habits. London. The Batchworth Press, xvi+ 208 pp., illustr. 1952. Cloth. Price 21 s",,,,,"American Society of Mammalogists 810 East 10th Street, PO Box 1897, Lawrence …",10.1093/jmammal/33.3.405-a,,,Yes,No,NA,NA,ERC
1952,"Burt, William H; ","Ellerman, JR, and TCS Morrison-Scott. Checklist of Palaearctic and Indian Mammals 1758 to 1946. London. British Museum (Natural History), 810 pp., 1 map, 19 November 1951. Price, 3 pounds 5 shillings",Journal of Mammalogy,33,3,401-402,The Oxford University Press,10.2307/1375778,,,Yes,No,NA,NA,ERC
1952,"Burt, William Henry; ",A Field Guide to the Mammals: Giving Field Marks of All Species Found North of the Mexican Boundary,,,,,Boston: Houghton Mifflin,,,Citation only,No,No,NA,NA,ERC
1952,"Davis, BS; ",University of California Publications in Zoology,,,,,,,,Not enough info,No,No,NA,NA,ERC
1952,"Dice, Lee R; ",The statistical concept of home range as applied to the recapture radius of the deermouse (Peromyscus),Contrib. Lab. vertebr. Zool. Univ. Mich.,62,,1-5,,,,Citation only,No,No,NA,NA,ERC
1952,"Dice, Lee R; ",Quantitative and experimental methods in systematic zoology,Systematic Zoology,1,3,97-104,"Society of Systematic Biologists; Taylor & Francis, Ltd.",,,,Yes,No,NA,NA,ERC
1952,"Dice, Lee R; ",Heredity and Population Betterment,The Scientific Monthly,75,5,273-279,American Association for the Advancement of Science,,,,Yes,No,NA,NA,ERC
1952,"Dice, Lee R; ",Heredity clinics: Their value for public service and for research,American Journal of Human Genetics,4,1,1,Elsevier,,,,Yes,No,NA,NA,ERC
1952,"Dice, Lee R; Barto, Elizabeth; ",Ability of mice of the genus Peromyscus to hear ultrasonic sounds,Science,116,3005,110-111,American Association for the Advancement of Science,,,,Yes,No,NA,NA,ERC
1952,"Dice, Lee Raymond; ",Measure of the spacing between individuals within a population,,,,,"Laboratory, University of Michigan",,,Citation only,No,No,NA,NA,ERC
1952,"Dice, Lee Raymond; ",Variation in body dimensions and pelage color of certain laboratory-bred stocks of the Peromyscus truei group,,,,,"Laboratory, University of Michigan",,,Citation only,No,No,NA,NA,ERC
1952,"Dice, Lee Raymond; ",Natural communities,,,,,"University of Michigan Press,",,,Not found,No,No,NA,NA,ERC
1952,"DICE, LR; CLARK, PJ; ",THE STATISTICAL CONCEPT OF HOME RANGE AND A CONSIDERATION OF THE RECAPTURE RADIUS OF THE PRAIRIE DEERMOUSE (PEROMYSCUS),ANATOMICAL RECORD,113,4,545-545,"WILEY-LISS DIV JOHN WILEY & SONS INC, 605 THIRD AVE, NEW YORK, NY 10158-0012",,,Citation only,No,No,NA,NA,ERC
1952,"Hooper, Emmet T; ",Notes on Mice of the Species Peromyscus boylei and P. pectoralis,Journal of Mammalogy,33,3,371-378,"American Society of Mammalogists, Oxford University Press",10.2307/1375774,,,Yes,No,NA,NA,ERC
1952,"Hooper, Emmet T; ","Notes on the pygmy mouse (Baiomys), with description of a new subspecies from Mexico",Journal of Mammalogy,,,90-97,American Society of Mammalogists,10.2307/1375648,,,Yes,No,NA,NA,ERC
1952,"Hooper, Emmet T; ",Records of the Flying Squirrel (Glaucomys volans) in México,Journal of Mammalogy,33,1,109-110,The Oxford University Press,10.1093/jmammal/33.1.109-a,,,Yes,No,NA,NA,ERC
1952,"Hooper, Emmet T; ",American Wildlife and Plants,,,,,"American Society of Mammalogists, Oxford University Press",,,Not found,No,No,NA,NA,ERC
1952,"Hooper, Emmet Thurman; ",A systematic review of the harvest mice (genus Reithrodontomys) of Latin America.,,,,,University of Michigan Museum of Zoology,,,,Yes,No,NA,NA,ERC
1952,"Johnson, Murray L; ",A Field Guide to the Mammals,,,,,Society for Northwestern Vertebrate Biology,,,Citation only,No,No,NA,NA,ERC
1952,"Nielsen, C Overgaard; ",De danske søers og dammes dyriske plankton.[The Zooplankton of Danish Lakes and Ponds],,,,,"Nordic Society Oikos, Wiley",,,Citation only,No,No,NA,NA,ERC
1952,"Snyder, Marjorie B; ",Flour for Man's Bread,,,,,"AMER ASSOC ADVANCEMENT SCIENCE 1200 NEW YORK AVE, NW, WASHINGTON, DC 20005 USA",,,Not found,No,No,NA,NA,ERC
1951,"Burt, William H; ","Methuen's Monographs on Biological Subjects. General Editors: GR de Beer and Michael Abercrombie. John Wiley and Sons, Inc., 440 Fourth Ave., New York 16. Price $1.25 each",Journal of Mammalogy,32,1,128-128,The Oxford University Press,10.2307/1375421,,,Yes,No,NA,NA,ERC
1951,"Dice, Lee R; ",MG>* VERTEBRATE BIOLOGY,Contributions,,41-50,,,,,Not found,No,No,NA,NA,ERC
1951,"Dice, Lee Raymond; Howard, Walter E; ",Distance of dispersal by prairie deermice from birthplaces to breeding sites,,,,,University of Michigan Press,,,Citation only,No,No,NA,NA,ERC
1951,"Hibbard, Claude W; ",Remains of the barren ground caribou in Pleistocene deposits of Michigan,"Michigan Academy of Sciences, Arts, and Letters",37,,235-237,,,,Citation only,No,No,NA,NA,ERC
1951,"Hooper, ET; ",The Families and Genera of Living Rodents.,,,,,University of Chicago Press,,,Citation only,No,No,NA,NA,ERC
1950,"Burt, William Henry; ",A List of the Mammals of Michigan,,,,,"University Museums, University of Michigan",,,Citation only,No,No,NA,NA,ERC
1950,"Dice, Lee R; Hoslett, Sherman A; ","Variation in the Spontaneaous Activity of Peromyscus, as Shown by Recording Wheels, by Lee R. Dice and Sherman A. Hoslett...",,,,,University of Michigan,,,Citation only,No,No,NA,NA,ERC
1950,"Hooper, Emmet T; ","Anderson, Rudolph M. Methods of Collecting and Preserving Vertebrate Animals. Nat. Mus. Canada, Bull. No. 69, Biol. Ser., No. 18, pp. v+ 162, 48 figs. March 22, 1949.(Revised second edition) Price 50 cents, paper cover, $1.00, cloth-bound",Journal of Mammalogy,31,1,102-102,The Oxford University Press,10.2307/1375482,,,Yes,No,NA,NA,ERC
1950,"Hooper, Emmet T; ","A new subspecies of harvest mouse (genus Reithrodontomys) from Chiapas, Mexico",Journal of the Washington Academy of Sciences,40,12,418-419,Washington Academy of Sciences,,,Citation only,No,No,NA,NA,ERC
1950,"Hooper, EMMET T; ",Descriptions of two sub-species of harvest mice (Genus Reithrodontomys) from Mexico,Proc. Biol. Soc. Washington,63,,167-170,,,,Citation only,No,No,NA,NA,ERC
1950,"Hooper, ET; ",Use dermestid beetles instead of cooking pots,Journal of Mammalogy,31,1,100-102,"AMER SOC MAMMALOGISTS BRIGHAM YOUNG UNIV, DEPT OF ZOOLOGY, PROVO, UT 84602",10.1093/jmammal/31.1.100-a,,,Yes,No,NA,NA,ERC
1950,"Rinker, George Clark; Hooper, Emmet Thurman; ","Notes on the Cranial Musculature in Two Subgenera of Reithrodontomys, Harvest Mice, by George C. Rinker and Emmet T. Hooper",,,,,University of Michigan Press,,,,Yes,No,NA,NA,ERC
1949,"Burt, William H; ",Present distribution and affinities of Mexican mammals,Annals of the Association of American Geographers,39,3,211-218,Taylor & Francis,,,,Yes,No,NA,NA,ERC
1949,"Burt, William H; ",Territoriality,Journal of mammalogy,30,1,25-27,"American Society of Mammalogists, Oxford University Press",10.2307/1375192,,,Yes,No,NA,NA,ERC
1949,"Burt, William H; ","Ingles, Lloyd Glenn. Mammals of California. Stanford: Stanford University Press, xx+ 258 pp., frontis., 47 pls., 57 figs. First printing, February, 1947; second printing, October, 1948. Price, $4.00",Journal of Mammalogy,30,3,324-324,The Oxford University Press,10.2307/1375330,,,Yes,No,NA,NA,ERC
1949,"Burt, William H; ","Orr, Robert T. Mammals of Lake Tahoe. California Academy of Sciences, San Francisco: Pp. 127. Illustrated by George and Patritia Mattson. 1949. Price, $4.00",,,,,"American Society of Mammalogists 810 East 10th Street, PO Box 1897, Lawrence …",10.2307/1375329,,,Yes,No,NA,NA,ERC
1949,"Dice, Lee R; ",The selection index and its test of significance,Evolution,,,262-265,Society for the Study of Evolution,10.2307/2405563,,,Yes,No,NA,NA,ERC
1949,"Dice, Lee Raymond; ",Variation of Peromyscus maniculatus in parts of western Washington and adjacent Oregon,,,,,"Laboratory, University of Michigan",,,Citation only,No,No,NA,NA,ERC
1949,"Hershkovitz, Philip; ","Mammals of Northern Colombia, Preliminary Report No. 4: Monkeys (Primates), with Taxonomic Revisions of Some Forms",Proceedings of the United States National Museum,,,,,,,,Yes,No,NA,NA,ERC
1949,"Hooper, Emmet Thurman; ",Faunal relationships of recent North American rodents,,,,,University of Michigan Museum of Zoology,,,,Yes,No,NA,NA,ERC
1949,"Hooper, Emmet Thurman; Ostenson, Burton T; ",Age groups in Michigan otter,,,,,University of Michigan Museum of Zoology,,,,Yes,No,NA,NA,ERC
1949,"Manville, Richard Hyde; ",A study of small mammal populations in northern Michigan,,,,,University of Michigan Museum of Zoology,,,,Yes,No,NA,NA,ERC
1948,"Burt, WH; ","A new bat (Balantiopteryx) from Sonora, Mexico",,,,,University of Michigan Museum of Zoology,,,,Yes,No,NA,NA,ERC
1948,"Burt, WH; ","Gates, R. Ruggles. Human Ancestry from a Genetical Point of View. Cambridge. Harvard University Press, xvi+ 422 pp., illustr. January 26, 1948. Price, $7.50",Journal of Mammalogy,29,2,193-194,The Oxford University Press,10.2307/1375250,,,Yes,No,NA,NA,ERC
1948,"Dice, Lee R; ",Relationship between frequency index and population density,Ecology,29,3,389-391,Ecological Society of America,10.2307/1931001,,,Yes,No,NA,NA,ERC
1948,"Dice, Lee R; ",Application of Statistical Methods to the Analysis of Ecologic Association Between Species of Birds,American Midland Naturalist,,,174-178,JSTOR,10.2307/2421440,,,Yes,No,NA,NA,ERC
1948,"Hooper, Emmet T; ","Tate, GHH Mammals of Eastern Asia. New York: The Macmillan Co. Pp. xiv+ 366, 79 figs",Journal of Mammalogy,29,1,78-78,The Oxford University Press,10.2307/1375284,,,Yes,No,NA,NA,ERC
1948,"Hooper, ET; ",A LIST OF THE NAMED FORMS OF THE POCKET GOPHER GENUS-CRATOGEOMYS,Journal of Mammalogy,29,3,301-303,"AMER SOC MAMMALOGISTS BRIGHAM YOUNG UNIV, DEPT OF ZOOLOGY, PROVO, UT 84602",,,,Yes,No,NA,NA,ERC
1948,"Hooper, ET; Handley Jr, CO; ","Character gradients in the spiny pocket mouse, Liomys irroratus",,,,,University of Michigan Museum of Zoology,,,,Yes,No,NA,NA,ERC
1947,"Burt, William; ","Handbüchlein für Probemitglieder der Methodistenkirche und solche, die es zu werden wünschen: Von Bischof William Burt. Bearbeitet von W. Körber",,,,,Anker-Verlag,,,Citation only,No,No,NA,NA,ERC
1947,"Dice, Lee R; ","Methods for rearing of Peromyscus. In:“UFAW handbook on the care and management of laboratory animals,”",,,,,,,,Not found,No,No,NA,NA,ERC
1947,"Dice, Lee R; ",Human Breeding and Survival: Population Roads to Peace or War.,,,,,"University of Chicago Press, American Society of Naturalists",,,Citation only,No,No,NA,NA,ERC
1947,"Dice, Lee Raymond; ",Effectiveness of selection by owls of deer-mice (Peromyscus maniculatus) which contrast in color with their background,,,,,"Laboratory, University of Michigan",,,Citation only,No,No,NA,NA,ERC
1947,"Glass, Bryan P; ",Geographic variation in Perognathus hispidus,Journal of Mammalogy,28,2,174-179,"American Society of Mammalogists, Oxford University Press",10.2307/1375458,,,Yes,No,NA,NA,ERC
1947,"Hooper, Emmet T; ",Notes on Mexican mammals,Journal of Mammalogy,28,1,40-57,"American Society of Mammalogists, Oxford University Press",10.2307/1375494,,,Yes,No,NA,NA,ERC
1946,"Burt, William Henry; ",mammals of Michigan,,,,,The University of Michigan Press,,,Citation only,No,No,NA,NA,ERC
1946,"Burt, William Henry; ","The California Ground Squirrel: A Record of Observations Made on the Hastings Natural History Reservation. Jean M. Linsdale. Berkeley-Los Angeles: Univ. California Press, 1946. Pp. xi+ 475.(Illustrated.) $5.00.",Science,104,2705,430-430,American Association for the Advancement of Science,,,Not found,No,No,NA,NA,ERC
1946,"Dice, Lee R; ",Regional Research Stations in Basic Science,Science,103,2674,403-403,American Association for the Advancement of Science,,,Not found,No,No,NA,NA,ERC
1946,"Dice, Lee R; ",was to be expected that certain species would follow the clearings,The Mammals of Michigan,,,7,University of Michigan Press,,,Not enough info,No,No,NA,NA,ERC
1946,"Hooper, Emmet T; ",Two genera of pocket gophers should be congeneric,Journal of Mammalogy,27,4,397-399,The Oxford University Press,10.1093/jmammal/27.4.397,,,Yes,No,NA,NA,ERC
1946,"Hooper, Emmet T; ",Special Wildlife Areas in United States National Forests,Journal of Mammalogy,27,4,410-411,The Oxford University Press,10.2307/1375352,,,Yes,No,NA,NA,ERC
1946,"Hooper, Emmet T; ",Extra teeth in a shrew,Journal of Mammalogy,27,4,394-394,The Oxford University Press,10.1093/jmammal/27.4.394b,,,Yes,No,NA,NA,ERC
1946,"HOOPER, EMMET T; ",Dental formula: 15. P or m3= 22 or 20,The Mammals of Michigan,,,185,University of Michigan Press,,,Not enough info,No,No,NA,NA,ERC
1946,"Mohr, Carl O; Dunk, FA; Baughman, JL; Davis, Malcolm; Stott, Ken; Hooper, Emmet T; Brown, Charles P; Tryon, Clarence Archer; Chapman, Floyd B; ",General Notes,Journal of Mammalogy,27,4,390-399,"American Society of Mammalogists, Oxford University Press",,,,,,,,
1945,"BURT, WH; ",The Bunker bat in Oklahoma,JOURNAL OF MAMMALOGY,26,3,309-309,"AMER SOC MAMMALOGISTS BRIGHAM YOUNG UNIV, DEPT OF ZOOLOGY, PROVO, UT 84602",,,,Yes,No,NA,NA,ERC
1945,"Burt, William Henry; ",Michigan Fox Squirrel Management,,,,,"Wiley, Wildlife Society",,,Citation only,No,No,NA,NA,ERC
1945,"Dice, Lee R; ",Minimum intensities of illumination under which owls can find dead prey by sight,The American Naturalist,79,784,385-416,Science Press,,,,Yes,No,NA,NA,ERC
1945,"Dice, LR; ",Some winter foods of the cottontail in southern Michigan,Journal of Mammalogy,26,1,87-88,"AMER SOC MAMMALOGISTS BRIGHAM YOUNG UNIV, DEPT OF ZOOLOGY, PROVO, UT 84602",10.1093/jmammal/26.1.87,,,Yes,No,NA,NA,ERC
1945,"Kendeigh, S Charles; Dice, Lee R; Hill, John Eric; Leopold, Aldo; Thomsen, Hans Peter; Dexter, Ralph W; Davis, WB; Hall, E Raymond; Nelson, AL; Cottam, Clarence; ",General Notes,Journal of Mammalogy,26,1,86-96,"American Society of Mammalogists, Oxford University Press",,,,,,,,
1944,"Dice, Lee R; ",The importance of cooperative studies of the biology of man,Science,99,2580,457-461,American Association for the Advancement of Science,10.1126/science.99.2580.457,,,Yes,No,NA,NA,ERC
1944,"Dice, Lee Raymond; ",Variation of the Deer-mouse (peromyscus Maniculatus) in a Mountainous Area of Southern New Mexico,,,,,"Laboratory, University of Michigan",,,Citation only,No,No,NA,NA,ERC
1944,"Dice, Lee Raymond; ","Variation of the Deer-mouse (peromyscus Maniculatus) in Parts of Idaho, Montana, Utah and Wyoming",,,,,"Laboratory, University of Michigan",,,Citation only,No,No,NA,NA,ERC
1944,"Hooper, Emmet T; ",Additional records of the Merriam shrew in Montana,Journal of Mammalogy,25,1,92-92,The Oxford University Press,10.1093/jmammal/36.2.92,,,Yes,No,NA,NA,ERC
1944,"Hooper, Emmet T; ",The Name Neotoma Cinerea Cinnamomea Allen Applied to Woodrats from Southwestern Wyoming,Journal of Mammalogy,25,4,415-415,The Oxford University Press,10.1093/jmammal/25.4.415-a,,,Yes,No,NA,NA,ERC
1944,"Hooper, Emmet Thurman; ",San Francisco Bay as a factor influencing speciation in rodents,,,,,University of Michigan Museum of Zoology,,,,Yes,No,NA,NA,ERC
1944,"Jorge, A; ",THE BIOTIC PROVINCES OF NORTH AMERICA,,,,,Pan American Institute of Geography and History,,,Citation only,No,No,NA,NA,ERC
1943,"Burt, William Henry; ",Territoriality and home range concepts as applied to mammals,Journal of mammalogy,24,3,346-352,JSTOR,10.2307/1374834,,,Yes,No,NA,NA,ERC
1943,"Burt, William Henry; ",Changes in the nomenclature of Michigan mammals,,,,,University of Michigan Museum of Zoology,,,,Yes,No,NA,NA,ERC
1943,"Dice, Lee R; ",The Genetics of the Mouse.,,,,,JSTOR,,,,Yes,No,NA,NA,ERC
1943,"Dice, Lee Raymond; ",The biotic provinces of North America.,The biotic provinces of North America.,,,,Ann. Arbor: Univ. Michigan Press.,,,Don't have access,No,No,NA,NA,ERC
1943,"DICE, LEER; ",CONTRIBUTIONS FROM THE LABORATORY OF,Contributions from the Laboratory of Vertebrate Biology,,1-19,1,The Laboratory.,,,Citation only,No,No,NA,NA,ERC
1943,"Hooper, Emmet T; ",The Type Locality of Thomomys bridgeri and Thomomys ocius,Journal of Mammalogy,24,4,503-503,The Oxford University Press,10.1093/jmammal/24.4.503-a,,,Yes,No,NA,NA,ERC
1943,"Hooper, Emmet Thurman; ",Geographic variation in harvest mice of the species Reithrodontomys humulis,,,,,University of Michigan Museum of Zoology,,,,Yes,No,NA,NA,ERC
1943,"Zimmer, JT; ",Ecological Geography,,,,,American Ornithologists' Union,,,Citation only,No,No,NA,NA,ERC
1942,"Blossom, Philip M; Burt, William Henry; ",A new race of pygmy mouse (Baiomys) from Arizona,,,,,University of Michigan Museum of Zoology,,,,Yes,No,NA,NA,ERC
1942,"Burt, William H; ",A caribou antler from the lower peninsula of Michigan,Journal of Mammalogy,23,2,214,,,,,Yes,No,NA,NA,ERC
1942,"Burt, William H; ",A calculus from the stomach of a deer,Journal of Mammalogy,23,3,335-336,The Oxford University Press,10.2307/1375005,,,Yes,No,NA,NA,ERC
1942,"Burt, William H; Barkalow, Frederick S; ",A comparative study of the bacula of wood rats (subfamily Neotominae),Journal of Mammalogy,23,3,287-297,JSTOR,10.2307/1374996,,,Yes,No,NA,NA,ERC
1942,"Burt, William H; Fisher, Harvey I; Goodwin, George G; Borell, AE; Dambach, Charles A; Smith, Clarence F; Harper, Francis; Scott, Thomas G; Arnold, Lee W; Oehler, Charles; ",General Notes,Journal of Mammalogy,23,3,335-348,"American Society of Mammalogists, Oxford University Press",,,,,,,,
1942,"Dice, Lee R; ",A family of dog-coyote hybrids,Journal of Mammalogy,23,2,186-192,JSTOR,10.2307/1375071,,,Yes,No,NA,NA,ERC
1942,"Dice, Lee R; ",Ecological distribution of Peromyscus and Neotoma in parts of southern New Mexico,Ecology,23,2,199-208,Ecological Society of America,10.2307/1931086,,,Yes,No,NA,NA,ERC
1942,"Dice, Lee R; Bradley, Robert M; ","Growth in the deer-mouse, Peromyscus maniculatus",Journal of Mammalogy,23,4,416-427,American Society of Mammalogists,10.2307/1375053,,,Yes,No,NA,NA,ERC
1942,"Dice, Lee Raymond; ",Variation in the Deer-mouse (Peromyscus Maniculatus) of the Bad Lands and Black Hills of South Dakota and Wyoming,,,,,"Laboratory, University of Michigan",,,Citation only,No,No,NA,NA,ERC
1942,"Hill, John Eric; Linduska, JP; Cheatum, EL; Morton, Glenn H; Slipp, John W; Florine, Clifford; Burt, William H; Blossom, Phillip M; Baker, Rollin H; Newman, Coleman C; ",General Notes,Journal of Mammalogy,23,2,210-223,JSTOR,,,,,,,,
1942,"Hooper, Emmet T; ",An effect on the Peromyscus maniculatus Rassenkreis of land utilization in Michigan,Journal of Mammalogy,23,2,193-196,American Society of Mammalogists,10.2307/1375072,,,Yes,No,NA,NA,ERC
1942,"Hooper, Emmet T; ","Edwards, Dorothy Lee. All About Elephants. EP Dutton and Co., New York. 1941. 88 pp., 36 photographs. $1.50",,,,,The Oxford University Press,10.1093/jmammal/23.1.103,,,Yes,No,NA,NA,ERC
